City,Longitude,Latitude
Atlanta, -84.3880, 33.7490
Chicago, -87.6298, 41.8781
Washington, -77.0369, 38.9072
San Francisco, -122.4194, 37.7749
Montreal, -73.5673, 45.5017
Miami, -80.1918, 25.7617
New York, -74.0060, 40.7128
Los Angeles, -118.2437, 34.0522
Bogota, -74.0721, 4.7109
Mexico, -99.1332, 19.4326
Lima, -77.0428, -12.0464
Buenos Aires, -58.3816, -34.6037
London, -0.1276, 51.5074
Madrid, -3.7038, 40.4168
Paris, 2.3522, 48.8566
Essen, 7.0116, 51.4556
Milan, 9.1859, 45.4654
St Petersburg, 30.3351, 59.9343
Moscow, 37.6173, 55.7558
Istanbul, 28.9784, 41.0082
Tehran, 51.3890, 35.6892
Baghdad, 44.3615, 33.3152
Cairo, 31.2357, 30.0444
Riyadh, 46.6753, 24.7136
Karachi, 67.0011, 24.8607
Mumbai, 72.8777, 19.0760
Delhi, 77.1025, 28.7041
Chennai, 80.2707, 13.0827
Kolkata, 88.3639, 22.5726
Bangkok, 100.5018, 13.7563
Jakarta, 106.8650, -6.2088
Ho Chi Minh, 106.6297, 10.7769
Manila, 120.9842, 14.5995
Sydney, 151.2093, -33.8688
Tokyo, 139.6917, 35.6895
Seoul, 126.9780, 37.5665
Shanghai, 121.4737, 31.2304
Beijing, 116.4074, 39.9042
Taipei, 121.5654, 25.0330
Hong Kong, 114.1694, 22.3193
